T,0,5a-1-1,5a-1-2,5a-1-3,5a-2,5a-3,5a-4-1-1,5a-4-1-2,5a-4-2,5a-5,5a-6
16,0,0,0,340,0,0,340,263,212,295,295
15,0,0,0,340,0,0,340,263,212,295,295
14,0,0,0,340,0,0,340,263,212,295,295
13,0,340,295,340,237,237,340,263,212,295,295
12,0,340,295,340,237,237,340,263,212,212,212
11,0,340,295,340,237,237,340,263,212,212,212
10,0,340,295,340,237,237,340,263,212,212,212
9,0,308,263,340,212,212,340,263,212,135,135
8,0,308,263,340,212,212,340,263,212,135,135
7,0,308,263,340,212,212,340,263,212,135,135
6,0,308,263,340,212,212,340,263,212,135,135
5,0,308,263,340,212,212,340,263,212,135,135