dataset,working_time_weekly,source_url,notes,accessed_on
Beamte-BW-A,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-AW,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-B,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-W,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-Bayern-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bayern) laut dbb Übersicht,2026-03-24
Beamte-Berlin-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Berlin-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Berlin-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Bremen-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bremen-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bremen-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bremen-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bund-A,41 (40 auf Antrag in Sonderfällen),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html;https://www.gesetze-im-internet.de/azv/AZV.pdf;https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/beamtinnen-und-beamte/arbeitszeit/arbeitszeit-artikel.html,Bund: 41h Regelarbeitszeit; 40h auf Antrag in Sonderfällen (dbb/BMI/AZV),2026-03-24
Beamte-Bund-AW,41 (40 auf Antrag in Sonderfällen),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html;https://www.gesetze-im-internet.de/azv/AZV.pdf;https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/beamtinnen-und-beamte/arbeitszeit/arbeitszeit-artikel.html,Bund: 41h Regelarbeitszeit; 40h auf Antrag in Sonderfällen (dbb/BMI/AZV),2026-03-24
Beamte-Bund-B,41 (40 auf Antrag in Sonderfällen),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html;https://www.gesetze-im-internet.de/azv/AZV.pdf;https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/beamtinnen-und-beamte/arbeitszeit/arbeitszeit-artikel.html,Bund: 41h Regelarbeitszeit; 40h auf Antrag in Sonderfällen (dbb/BMI/AZV),2026-03-24
Beamte-Bund-R,41 (40 auf Antrag in Sonderfällen),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html;https://www.gesetze-im-internet.de/azv/AZV.pdf;https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/beamtinnen-und-beamte/arbeitszeit/arbeitszeit-artikel.html,Bund: 41h Regelarbeitszeit; 40h auf Antrag in Sonderfällen (dbb/BMI/AZV),2026-03-24
Beamte-Bund-W,41 (40 auf Antrag in Sonderfällen),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html;https://www.gesetze-im-internet.de/azv/AZV.pdf;https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/beamtinnen-und-beamte/arbeitszeit/arbeitszeit-artikel.html,Bund: 41h Regelarbeitszeit; 40h auf Antrag in Sonderfällen (dbb/BMI/AZV),2026-03-24
Beamte-Hamburg-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Hamburg) laut dbb Übersicht,2026-03-24
Beamte-Hamburg-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Hamburg) laut dbb Übersicht,2026-03-24
Beamte-Hamburg-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Hamburg) laut dbb Übersicht,2026-03-24
Beamte-Hamburg-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Hamburg) laut dbb Übersicht,2026-03-24
Beamte-Hessen-A,41 (bis 60) / 40 (ab 61),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Hessen: 41h bis 60, 40h ab 61 (dbb Übersicht)",2026-03-24
Beamte-Hessen-A-UE,41 (bis 60) / 40 (ab 61),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Hessen: 41h bis 60, 40h ab 61 (dbb Übersicht)",2026-03-24
Beamte-Hessen-AW,41 (bis 60) / 40 (ab 61),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Hessen: 41h bis 60, 40h ab 61 (dbb Übersicht)",2026-03-24
Beamte-Hessen-B,41 (bis 60) / 40 (ab 61),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Hessen: 41h bis 60, 40h ab 61 (dbb Übersicht)",2026-03-24
Beamte-Hessen-W,41 (bis 60) / 40 (ab 61),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Hessen: 41h bis 60, 40h ab 61 (dbb Übersicht)",2026-03-24
Beamte-LSA-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (LSA) laut dbb Übersicht,2026-03-24
Beamte-LSA-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (LSA) laut dbb Übersicht,2026-03-24
Beamte-LSA-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (LSA) laut dbb Übersicht,2026-03-24
Beamte-LSA-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (LSA) laut dbb Übersicht,2026-03-24
Beamte-MV-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (MV) laut dbb Übersicht,2026-03-24
Beamte-MV-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (MV) laut dbb Übersicht,2026-03-24
Beamte-MV-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (MV) laut dbb Übersicht,2026-03-24
Beamte-MV-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (MV) laut dbb Übersicht,2026-03-24
Beamte-NRW-A,41 (bis 54) / 40 (55-59) / 39 (ab 60),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"NRW: 41h bis 54, 40h ab 55, 39h ab 60 (dbb Übersicht)",2026-03-24
Beamte-NRW-B,41 (bis 54) / 40 (55-59) / 39 (ab 60),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"NRW: 41h bis 54, 40h ab 55, 39h ab 60 (dbb Übersicht)",2026-03-24
Beamte-NRW-W,41 (bis 54) / 40 (55-59) / 39 (ab 60),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"NRW: 41h bis 54, 40h ab 55, 39h ab 60 (dbb Übersicht)",2026-03-24
Beamte-Niedersachsen-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Niedersachsen) laut dbb Übersicht,2026-03-24
Beamte-Niedersachsen-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Niedersachsen) laut dbb Übersicht,2026-03-24
Beamte-Niedersachsen-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Niedersachsen) laut dbb Übersicht,2026-03-24
Beamte-RLP-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (RLP) laut dbb Übersicht,2026-03-24
Beamte-RLP-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (RLP) laut dbb Übersicht,2026-03-24
Beamte-RLP-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (RLP) laut dbb Übersicht,2026-03-24
Beamte-RLP-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (RLP) laut dbb Übersicht,2026-03-24
Beamte-SH-A,41 (40 bei GdB >= 50),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Schleswig-Holstein: 41h, 40h bei Schwerbehinderung (dbb Übersicht)",2026-03-24
Beamte-SH-B,41 (40 bei GdB >= 50),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Schleswig-Holstein: 41h, 40h bei Schwerbehinderung (dbb Übersicht)",2026-03-24
Beamte-SH-W,41 (40 bei GdB >= 50),https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,"Schleswig-Holstein: 41h, 40h bei Schwerbehinderung (dbb Übersicht)",2026-03-24
Beamte-Saarland-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Saarland) laut dbb Übersicht,2026-03-24
Beamte-Saarland-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Saarland) laut dbb Übersicht,2026-03-24
Beamte-Saarland-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Saarland) laut dbb Übersicht,2026-03-24
Beamte-Saarland-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Saarland) laut dbb Übersicht,2026-03-24
Beamte-Sachsen-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Sachsen) laut dbb Übersicht,2026-03-24
Beamte-Sachsen-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Sachsen) laut dbb Übersicht,2026-03-24
Beamte-Sachsen-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Sachsen) laut dbb Übersicht,2026-03-24
Beamte-Thueringen-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Thueringen) laut dbb Übersicht,2026-03-24
Beamte-Thueringen-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Thueringen) laut dbb Übersicht,2026-03-24
Beamte-Thueringen-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Thueringen) laut dbb Übersicht,2026-03-24
Beamte-Thueringen-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Thueringen) laut dbb Übersicht,2026-03-24
MTV-Autobahn,39 / 38.5 (Schichtbereiche),https://www.dbb.de/fileadmin/user_upload/globale_elemente/pdfs/2021/autobahn/1_MTV_Autobahn_dbb.pdf,Regelarbeitszeit laut MTV Autobahn (je nach Bereich),2026-03-24
TV-BA,39,https://www.arbeitsagentur.de/bakarriere/datei/tarifvertrag_ba020650.pdf,Regelarbeitszeit laut § 6 TV-BA,2026-03-24
TV-DGUV,39,https://oeffentlicher-dienst.info/bg/;https://www.dguv.de/karriere/index.jsp,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-DRV,39,https://www.deutsche-rentenversicherung.de/SharedDocs/Downloads/DE/Traeger/Bund/Wir_ueber_uns_und_Presse/Tarifvertraege/2025/tv-drv-bund-20250605.pdf?__blob=publicationFile&v=3,Regelarbeitszeit laut § 6 TV-DRV Bund,2026-03-24
TV-Dataport,38.7,https://gesundheit-soziales-bildung-nord.verdi.de/++file++659fcec15f1b71823d2368e0/download/TV%20Dataport%20Gesamt%202021.pdf,Regelarbeitszeit laut TV Dataport,2026-03-24
TV-H,40,https://hessen.dgb.de/service/tarifvertraege/tvh,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-H-SuE,40,https://hessen.dgb.de/service/tarifvertraege/tvh,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-ITDZ-Berlin,39.4,https://jobs.itdz-berlin.de/content/FAQ/?locale=de_DE,Regelarbeitszeit ITDZ Berlin (FAQ),2026-03-24
TV-ITZBund,39,https://www.dbb.de/fileadmin/user_upload/globale_elemente/pdfs/2023/231121_Entgelttabelle_Bund_ab_Maerz_2024_inkl._Stundenentgelte.pdf,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-L,je nach Bundesland (39.0-40.0),https://oeffentlicher-dienst.info/tv-l/allg/arbeitszeit.html,"Arbeitszeiten je Bundesland; Tarifgebiet Ost 40,0h",2026-03-24
TV-L-KR,je nach Bundesland (39.0-40.0),https://oeffentlicher-dienst.info/tv-l/allg/arbeitszeit.html,"Arbeitszeiten je Bundesland; Tarifgebiet Ost 40,0h",2026-03-24
TV-L-S,je nach Bundesland (39.0-40.0),https://oeffentlicher-dienst.info/tv-l/allg/arbeitszeit.html,"Arbeitszeiten je Bundesland; Tarifgebiet Ost 40,0h",2026-03-24
TV-N-Bayern,38.5,https://www.swm.de/dam/doc/karriere/tv-n.pdf,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-N-Berlin,37.5,https://www.gklberlin.de/fileadmin/user_upload/www_gklberlin_de/pdf/17._AETV_TV-N_Berlin.pdf,Regelarbeitszeit seit 01.07.2024 laut Änderungstarifvertrag,2026-03-24
TV-N-NRW,39,https://www.verdi.de/++file++6482cf3e4856c398472d49ef/download/3905_116_Tab_TV-N%20BW_NW_NDS_Tarifeinigung.pdf,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TV-V,39 / 40 (bestimmte Gruppen),https://www.vka.de/assets/media/docs/0/Tarifverträge/TV-V_idF_ÄTV_13.pdf,Regelarbeitszeit laut § 8 TV-V (je nach Beschäftigtengruppe),2026-03-24
TV-Ärzte,42,https://www.marburger-bund.de/sites/default/files/tarifvertraege/2020-06/20-06-02%20TV-%C3%84rzte%20i.d.F.%207.%C3%84nderungsTV.pdf,Regelarbeitszeit laut TV-Ärzte TdL,2026-03-24
TVöD-Bund,39,https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/themen/oeffentlicher-dienst/tarifvertraege/tvoed.pdf?__blob=publicationFile&v=8,Regelarbeitszeit laut § 6 TVöD,2026-03-24
TVöD-P,39,https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/tarifvertraege/tvoed/tvoed-node.html,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TVöD-S,39,https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/tarifvertraege/tvoed/tvoed-node.html,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TVöD-SuE,39,https://www.bmi.bund.de/DE/themen/oeffentlicher-dienst/tarifvertraege/tvoed/tvoed-node.html,Regelarbeitszeit laut Tarifvertrag (§ Arbeitszeit),2026-03-24
TVöD-VKA,39,https://www.kommunalforum.de/tvoed_regelmaessige_arbeitszeit.php,Regelarbeitszeit laut § 6 TVöD-VKA,2026-03-24
