T,1,2,3,4,5
15,6342.92,6511.59,6680.23,6848.90,7017.55,7186.20
14,5824.59,5976.69,6128.78,6280.93,6433.02,6585.11
13,5353.36,5490.44,5627.49,5764.59,5901.65,6038.71
12,4952.94,5067.22,5181.47,5295.72,5418.56,5541.40
11,4592.37,4695.12,4797.86,4900.59,5003.36,5106.13
10,4264.57,4356.82,4449.13,4541.41,4633.70,4725.99
9,4016.02,4099.95,4183.88,4267.82,4351.73,4435.64
8,3763.52,3838.69,3913.87,3989.03,4064.18,4139.33
7,3541.27,3608.44,3675.62,3742.82,3810.02,3877.22
6,3314.21,3374.17,3434.11,3494.04,3554.00,3613.96
5,3130.06,3183.41,3236.79,3290.12,3365.46,3440.80
4,3002.93,3054.36,3105.80,3157.24,3217.98,3278.72
3,2939.24,2988.66,3038.07,3087.47,3136.84,3186.21
2,2784.50,2828.53,2872.55,2916.62,2960.62,3004.62
1,2585.18,2622.87,2660.54,2698.21,2735.91,2773.61